Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
4,103.5,90,70,1,2431,14.5,20
4,86.6,64,81,1,1871,13.2,40
6,236.1,107,71,1,4003,20.9,20
8,281.4,129,79,1,3723,12.8,20
4,133.9,90,80,3,2757,15.1,30
8,346.4,75,76,1,4155,12.9,10
4,97.0,78,79,2,1921,15.9,30
4,109.4,75,78,3,2339,14.8,30
4,116.7,110,81,2,2212,14.7,30
6,233.3,110,79,1,3244,15.4,20
6,235.1,100,78,1,3236,17.6,20
4,140.5,92,82,1,2433,18.6,20
4,120.9,79,82,1,2681,18.3,30
6,254.7,120,78,1,3281,15.4,20
4,167.6,105,82,1,2955,15.9,20
8,310.2,49,70,1,3553,13.6,20
4,90.6,67,82,3,1959,15.8,30
8,302.8,145,79,1,3482,13.1,20
6,233.8,90,80,1,3454,17.2,20
3,80.5,110,77,3,2787,13.0,20
6,226.5,100,71,1,3204,15.0,20
4,86.5,76,71,2,2075,14.7,30
4,142.1,72,76,1,2553,13.6,30
4,135.0,84,82,1,2352,11.7,30
4,122.5,90,79,1,2902,17.6,10
8,367.1,85,79,1,4076,14.0,20
4,116.1,175,81,2,2304,14.2,30
4,119.1,82,82,1,2723,19.4,30
4,89.6,54,72,2,2319,24.2,20
6,268.3,90,73,1,3276,18.4,20
6,232.8,85,81,1,3514,15.8,20
4,130.9,95,78,2,2587,15.1,30
4,103.6,75,80,3,2327,15.9,40
6,244.5,90,75,3,3212,17.2,20
6,169.8,115,79,1,2680,12.9,30
4,140.9,84,82,1,2508,16.2,20
4,99.7,75,82,3,2100,15.2,30
4,85.0,65,79,3,1987,15.0,30
4,135.5,95,78,3,2392,14.6,20
6,171.9,97,79,1,2599,11.2,20
6,257.9,110,78,1,3627,18.0,20
4,89.2,48,80,2,2340,23.8,40
6,230.7,90,80,1,3193,18.5,20
8,318.0,145,77,1,4131,13.7,20
8,319.4,150,73,1,3670,11.9,10
6,156.0,108,76,3,2956,15.7,20
8,382.8,167,73,1,4842,12.1,10
6,242.8,100,71,1,3275,15.5,20
4,79.2,152,81,3,2063,17.1,40
4,130.3,80,74,1,2526,16.8,10
4,123.2,86,72,1,2366,16.3,20
4,143.7,86,71,1,2787,15.6,30
8,344.6,160,73,1,3965,11.0,10
8,302.0,140,73,1,4300,15.9,10
8,318.0,150,75,1,4521,14.5,20
8,318.0,150,73,1,4201,14.5,10
4,96.6,88,70,3,2122,14.5,30
4,116.9,79,82,1,2681,19.5,30
4,98.8,65,81,1,2329,15.6,30
8,350.0,145,73,1,4101,12.5,20
4,144.5,75,74,1,2583,17.0,30
8,282.3,140,75,1,3215,11.2,10
4,135.0,70,79,1,2728,16.1,30
8,401.1,90,70,1,3849,8.8,20
4,136.2,88,79,1,2968,18.9,30
6,231.0,105,75,1,3407,15.9,20
4,121.6,88,82,1,2280,11.6,40
8,240.8,110,77,1,4105,18.9,20
4,109.2,?,81,2,2322,16.1,30
4,94.2,75,74,3,2123,14.5,30
6,172.4,110,82,1,2923,11.1,30
4,95.8,75,74,2,2016,15.6,20
4,148.5,?,82,1,3109,20.5,20
4,83.3,208,77,3,2044,18.8,30
8,350.0,145,75,1,4429,14.7,20
4,97.0,78,77,2,1947,14.5,30
8,335.6,160,70,1,3509,8.0,10
6,228.5,46,78,1,3569,21.2,20
8,348.2,230,73,1,4204,9.6,20
6,250.6,100,71,1,3304,15.3,20
4,98.0,70,82,1,2108,17.2,40
6,231.5,100,78,1,3385,17.2,20
6,248.1,100,74,1,3811,17.2,20
8,309.3,150,73,1,3902,12.5,20
4,108.6,90,80,3,2623,16.4,30
4,119.0,97,78,3,2427,15.0,20
4,119.3,80,79,1,2662,15.0,30
8,354.9,145,75,1,4477,13.9,20
4,105.2,70,79,1,2207,13.3,30
4,97.9,83,76,2,2215,14.8,30
8,304.6,120,76,1,3970,13.9,20
4,145.6,105,74,1,2807,14.5,30
4,104.1,74,82,2,1988,15.3,40
8,309.8,129,76,1,3160,14.7,10
6,257.0,110,75,1,3756,18.9,20
6,256.5,165,78,1,3449,14.3,20
8,356.9,170,73,1,4632,13.0,10
6,157.6,72,79,1,2597,14.5,30
6,152.8,110,82,1,2600,17.9,30
8,344.2,155,79,1,4249,14.9,20
6,191.9,88,73,1,3150,17.1,20
4,137.0,84,76,1,2482,15.3,30
6,171.5,110,81,1,2729,12.8,20
8,395.9,170,82,1,4877,12.0,10
8,268.1,125,79,1,3651,14.8,20
6,255.6,120,78,1,3409,16.9,20
4,136.2,90,71,1,2474,19.5,20
4,80.5,67,78,3,2047,17.6,30
8,351.3,86,73,1,3838,12.9,10
8,318.0,150,78,1,4551,13.6,20
4,84.7,65,81,3,2019,16.6,40
4,92.8,68,80,3,1987,18.2,40
4,141.2,90,81,1,2273,15.6,30
4,140.3,95,78,3,2567,14.2,30
4,132.8,95,73,3,2550,14.6,30
8,301.0,137,73,1,4042,14.8,10
4,111.7,88,80,3,2271,17.6,30
4,95.1,75,74,2,2082,15.4,20
4,114.4,95,70,3,2372,15.1,20
8,308.2,78,72,1,4199,12.8,10
4,78.3,90,74,3,1918,18.9,30
4,120.0,97,72,3,2551,14.4,20
6,220.3,105,73,1,3133,16.0,20
4,118.8,92,80,3,2480,15.6,40
4,133.5,86,71,1,2210,15.4,20
4,83.8,84,82,2,2085,23.8,40
8,353.8,145,75,1,4122,13.2,20
8,304.0,150,72,1,3914,12.2,20
4,88.6,62,81,3,1961,18.5,40
4,106.5,94,73,3,2516,16.7,30
4,100.2,60,76,1,2232,22.3,20
4,105.3,87,70,2,2724,17.5,30
8,262.6,110,75,1,3230,13.8,20
3,66.5,110,74,3,2368,13.9,20
4,96.7,90,73,2,2324,15.1,30
8,428.1,208,75,1,4304,10.9,20
3,65.7,97,72,3,2334,13.4,20
6,247.7,88,71,1,3207,15.8,20
8,273.0,125,79,1,3399,15.6,20
8,304.9,150,72,1,3903,15.0,20
8,316.8,150,73,1,4197,14.5,10
4,131.3,112,76,2,3034,15.7,20
4,145.9,80,80,1,3260,20.3,30
8,347.5,145,76,1,4054,11.7,10
4,101.9,85,82,1,2576,15.4,30
6,250.0,88,71,1,2943,16.5,20
4,95.2,81,76,1,2219,17.6,30
8,304.6,145,78,1,3409,13.3,20
4,86.5,65,80,3,2217,17.3,50
4,118.7,87,76,2,3030,19.3,20
4,92.6,67,82,3,1980,16.3,30
4,111.4,88,82,1,2392,17.5,30
4,105.1,80,79,1,2178,14.8,40
8,309.6,165,70,1,3634,13.3,20
8,394.3,180,71,1,5052,11.5,10
4,89.1,75,79,2,2519,14.0,30
8,305.6,130,79,1,3844,10.9,10
5,127.5,103,78,2,2809,15.9,20
4,106.2,80,72,1,2134,15.7,30
8,326.6,150,76,1,3980,12.8,20
6,216.8,105,78,1,3467,15.6,20
6,169.5,133,81,2,3900,15.8,20
6,250.0,72,75,1,3113,20.7,20
4,96.8,75,77,3,2170,15.4,30
8,401.8,170,71,1,4732,12.2,10
4,96.9,150,74,2,2240,16.8,30
6,230.0,112,75,1,2798,14.5,20
8,396.8,190,77,1,4243,12.7,20
4,130.4,86,72,1,2804,15.9,20
6,146.1,108,77,3,2882,14.4,20
4,83.8,70,77,3,1831,16.8,30
4,111.1,76,71,1,2508,18.7,20
4,119.8,81,76,2,3641,15.3,20
8,349.0,165,72,1,4236,12.0,10
4,140.8,86,82,1,2693,15.6,30
4,71.7,65,74,3,1800,20.7,30
4,86.9,75,75,3,2231,15.8,30
8,349.5,145,76,1,4054,11.8,10
6,247.3,98,77,1,3522,18.7,20
4,97.0,103,71,2,1955,20.0,30
8,315.6,150,74,1,4453,13.4,10
8,344.5,148,75,1,4791,14.4,20
6,169.2,132,81,3,2939,11.5,30
8,355.2,150,77,1,4716,15.1,10
4,97.5,97,74,3,2367,19.3,20
8,383.0,180,73,1,4487,10.1,10
4,140.6,71,79,1,2735,13.1,30
4,97.0,70,76,2,1847,15.6,30
4,155.0,92,81,1,2544,14.4,30
8,268.6,110,77,1,4016,18.6,20
4,121.0,86,72,1,2391,16.0,20
4,120.6,110,73,2,2657,13.4,20
6,233.6,100,74,1,3636,16.5,20
4,137.7,88,77,1,2525,15.7,30
4,123.4,96,77,1,2285,15.9,30
4,80.9,67,74,3,1974,18.9,30
4,121.2,86,71,1,2245,14.5,20
4,117.1,88,82,3,2434,15.1,40
8,370.8,145,76,1,4491,14.3,10
8,350.0,145,73,1,3995,13.0,10
4,81.5,68,78,3,2083,19.2,40
8,348.7,180,76,1,4239,12.5,20
4,152.1,85,78,1,2912,17.6,20
4,146.4,96,82,3,2685,13.9,30
4,91.1,90,71,2,2130,14.0,10
4,92.6,69,79,2,2111,15.3,40
4,81.8,65,71,2,2078,19.2,30
4,144.4,100,71,1,3376,15.0,20
6,222.8,152,82,1,3008,16.6,20
4,144.1,90,79,1,2544,12.9,30
6,253.6,95,76,1,3139,17.8,20
4,122.8,80,74,3,2430,16.5,30
8,353.5,153,72,1,4171,13.1,10
8,308.1,180,76,1,3978,13.7,20
4,143.3,96,82,3,2638,14.1,30
4,72.5,65,78,3,1913,19.5,30
4,91.7,80,82,3,2438,16.7,30
8,319.6,150,75,1,3351,11.0,20
4,88.2,71,79,2,1879,14.0,30
6,193.2,95,78,1,3203,18.1,20
4,111.8,75,76,3,2207,16.6,30
4,149.7,90,80,1,2910,17.5,20
4,88.9,71,78,2,1931,15.1,30
4,111.2,63,81,1,2183,14.9,30
4,88.7,94,73,1,2296,15.5,30
8,316.8,139,78,1,3322,11.5,20
8,366.6,175,72,1,3786,11.8,10
6,222.6,85,81,1,3437,15.1,20
6,180.3,88,82,1,3164,18.8,30
8,312.5,150,76,1,3784,14.1,10
4,90.0,48,80,2,2112,23.7,20
8,360.8,170,73,1,4082,13.3,10
4,119.6,67,72,2,2492,17.6,20
4,120.6,115,78,2,2779,16.0,20
6,192.0,88,78,2,2641,14.1,20
4,119.3,97,72,3,2521,15.3,10
8,320.6,150,73,1,4233,15.5,10
4,83.6,97,81,3,2100,18.6,40
4,70.0,69,82,3,2030,11.5,40
8,355.7,193,77,1,4345,11.9,20
4,92.3,67,82,3,2058,15.6,40
4,86.6,69,71,3,2009,17.8,40
8,348.4,75,76,1,4575,12.3,20
4,81.7,53,75,3,1791,16.0,30
4,99.2,65,81,1,2369,20.7,30
6,245.7,110,74,1,3614,17.7,20
4,142.3,100,82,3,2564,14.3,30
4,118.7,97,75,3,2428,14.0,20
4,154.7,92,82,1,2597,14.5,30
8,320.4,150,76,1,3856,15.1,10
8,442.9,208,72,1,4558,10.9,10
4,118.4,95,75,2,2657,15.1,20
8,272.7,110,76,2,3174,12.0,20
4,133.4,84,81,1,2467,15.3,30
4,99.1,95,72,1,2202,16.8,20
4,95.3,69,73,2,2260,19.8,30
4,141.8,92,82,1,2861,16.4,20
4,97.1,90,70,3,1948,20.7,30
6,250.0,78,76,1,3541,21.0,20
8,394.3,190,70,1,3612,13.4,20
6,225.7,165,78,1,3494,13.4,20
8,317.1,150,72,1,4147,13.5,10
8,314.4,170,77,1,3993,11.1,20
4,99.3,90,73,2,2263,15.9,30
8,400.0,150,73,1,5013,14.0,10
8,351.0,138,79,1,3975,13.2,20
4,137.3,90,72,1,2365,20.8,20
8,313.4,210,70,1,4382,13.5,10
6,260.5,95,76,1,3192,17.8,20
6,250.0,110,75,1,3522,15.8,20
4,81.5,65,80,3,2103,17.9,50
8,302.0,150,74,1,4566,14.3,10
4,65.9,90,73,3,2354,16.9,20
4,118.8,75,78,3,2302,14.5,30
4,104.1,75,74,1,2229,14.5,30
8,305.1,145,78,1,3422,13.1,20
4,120.7,75,75,3,2588,15.0,30
6,250.7,102,76,1,3346,14.8,20
4,102.2,90,81,2,2355,15.5,30
6,187.4,86,75,1,3839,21.3,20
8,477.7,220,76,1,4291,8.6,10
6,250.0,100,77,1,3750,17.4,20
8,292.6,130,72,1,4279,15.3,20
6,252.2,72,75,1,3169,19.4,20
4,122.2,96,77,1,2300,15.6,30
4,152.7,90,80,1,2634,19.8,20
6,172.7,115,81,1,2717,12.9,30
8,350.0,145,73,1,3943,13.4,20
4,124.2,72,73,1,2289,18.3,20
8,430.8,208,72,1,4539,11.7,10
4,104.7,63,82,1,2199,14.2,30
8,324.5,150,75,1,4431,14.5,20
8,350.5,153,72,1,4098,12.8,10
4,118.6,72,74,3,2301,15.6,30
4,91.2,60,75,3,1672,16.8,40
4,98.3,67,74,2,2277,18.4,30
6,224.7,89,76,1,3300,17.8,20
8,313.9,150,72,1,4108,13.9,10
4,89.4,90,73,2,2800,15.3,30
4,83.4,65,80,3,1834,18.5,50
4,86.4,71,79,3,1967,14.2,30
8,434.2,215,78,1,3649,7.4,10
4,122.0,97,74,3,2534,15.0,20
8,328.3,135,77,1,3838,14.9,20
6,225.3,90,82,1,3191,16.5,20
6,236.6,90,75,1,3212,17.3,20
8,353.4,158,72,1,4369,13.0,10
8,398.9,190,72,1,4421,12.5,10
4,139.1,158,80,1,2880,14.4,30
4,123.0,97,78,3,2405,14.9,20
8,434.4,190,70,1,3849,7.4,20
4,137.7,95,72,3,2264,19.1,20
4,109.4,190,79,2,3813,22.2,30
8,322.1,170,75,1,4723,11.3,20
8,367.6,170,73,1,4773,12.4,10
8,349.9,150,74,1,4717,14.6,10
4,90.7,65,81,3,2068,17.4,30
4,120.8,75,80,3,2429,16.6,30
4,120.0,150,72,1,2272,16.5,20
8,404.6,170,70,1,4686,11.5,20
4,95.1,69,72,2,2163,18.5,30
4,97.0,78,77,2,1953,14.2,30
8,316.5,150,77,1,4283,14.3,20
4,123.5,88,82,1,2626,19.7,30
4,132.0,84,80,1,2311,16.3,30
4,139.1,90,72,1,2398,19.2,20
8,308.6,150,76,1,3799,14.2,10
8,259.4,110,78,1,3337,15.4,20
4,71.4,65,71,3,1765,19.1,20
4,97.5,79,72,1,2048,17.7,30
3,63.0,110,73,3,2111,13.8,20
4,153.9,133,78,1,3381,17.7,20
4,77.6,74,74,3,2571,19.6,30
4,126.4,70,70,2,2665,17.7,30
4,107.2,75,80,3,2236,15.0,30
4,108.3,225,79,1,2194,14.5,30
4,117.8,90,70,2,2428,14.6,20
4,140.0,115,80,1,2808,18.1,30
8,364.6,142,79,1,3921,11.7,20
4,156.7,92,82,1,2713,14.2,30
6,154.7,130,78,2,3146,13.6,20
4,96.9,71,76,2,1812,12.1,10
4,163.6,225,79,1,3094,20.0,20
6,235.1,80,74,1,2864,15.2,20
4,183.2,132,82,3,2714,11.4,30
4,95.9,86,82,3,2209,15.4,30
8,351.4,142,79,1,4064,14.3,20
4,108.2,75,82,3,2233,14.5,40
4,134.3,88,80,2,2956,17.2,30
4,111.8,88,82,1,2609,15.8,30
4,152.0,88,74,1,2488,15.2,20
8,348.5,153,71,1,4177,13.1,10
4,98.1,72,78,1,2185,18.1,30
6,223.4,115,76,1,3170,15.4,20
6,166.8,116,81,3,2913,12.4,30
4,103.5,75,79,1,2197,13.9,30
4,88.6,75,74,2,2136,15.4,20
8,395.8,208,71,1,4664,11.3,10
4,83.9,65,80,3,2108,18.7,40
4,139.9,?,79,1,3042,14.5,20
4,106.3,72,80,3,2258,16.8,30
4,97.4,80,72,1,2111,16.7,30
3,78.6,110,77,3,2790,13.5,20
6,200.4,90,70,1,2525,14.2,20
4,120.7,92,77,3,2542,14.9,40
4,86.4,69,79,2,2120,14.9,40
3,70.0,97,72,3,2328,13.5,20
8,342.4,105,79,1,3835,16.2,20
4,78.0,52,78,3,1978,19.4,30
8,439.1,225,70,1,5234,9.7,10
8,308.4,130,79,1,3893,13.2,20
4,106.8,52,80,3,2351,15.2,30
8,318.0,225,74,1,4549,14.5,10
6,182.2,110,78,1,2988,16.4,30
4,125.0,75,82,1,2540,17.1,30
6,250.0,100,73,1,3309,17.6,20
8,365.4,175,73,1,3780,10.2,10
4,224.1,95,75,1,3602,19.2,20
8,367.1,105,81,1,3705,17.9,30
8,344.8,149,77,1,3791,14.7,50
8,316.1,86,71,1,3944,13.5,10
6,225.0,105,73,1,2906,16.5,20
4,145.2,92,79,1,2592,15.2,30
4,126.6,96,75,3,2530,13.6,20
8,351.0,158,73,1,4357,13.0,10
4,100.5,?,72,3,1992,19.0,30
4,119.9,88,80,2,2500,14.4,20
8,350.0,122,72,1,4147,13.5,20
8,380.9,190,70,1,3642,9.8,20
8,304.0,150,73,1,3698,11.0,10
4,142.6,92,76,1,2626,14.4,30
5,129.5,67,78,2,3529,20.8,30
4,165.4,95,78,1,3024,17.7,20
4,100.0,68,78,3,2136,16.0,30
4,140.0,88,78,1,2743,15.3,30
8,343.0,165,70,1,3760,10.8,20
4,98.5,68,78,1,2142,16.5,30
6,225.5,95,73,1,3248,16.5,20
